save_name,run_index,execution_time_ms,avg_ms,min_ms,max_ms,effective_ups,percentage_improvement,ticks,factorio_version,platform
fulgora-island-3-bench-6s5s,0,41779.245,1.289,0.882,17.034,775.5046794167773,0,32400,2.0.72,linux-x86_64
fulgora-island-3-bench-6s5s,1,41976.785,1.296,0.93,17.794,771.8552052044957,0,32400,2.0.72,linux-x86_64
fulgora-island-3-bench-6s5s,2,41966.466,1.295,0.89,17.042,772.0449942103774,0,32400,2.0.72,linux-x86_64
fulgora-island-3-bench-6s5s,3,41996.734,1.296,0.908,17.783,771.4885638487984,0,32400,2.0.72,linux-x86_64
fulgora-island-3-bench-6s5s,4,41991.965,1.296,0.905,17.404,771.5761813003988,0,32400,2.0.72,linux-x86_64
fulgora-island-4-bench-5s5s,0,40705.791,1.256,0.92,16.62,795.9555435245074,2.968323879421063,32400,2.0.72,linux-x86_64
fulgora-island-4-bench-5s5s,1,40679.619,1.256,0.93,17.403,796.4676365331741,2.968323879421063,32400,2.0.72,linux-x86_64
fulgora-island-4-bench-5s5s,2,40820.435,1.26,0.932,17.858,793.7201061184185,2.968323879421063,32400,2.0.72,linux-x86_64
fulgora-island-4-bench-5s5s,3,40818.574,1.26,0.949,17.942,793.7562933972166,2.968323879421063,32400,2.0.72,linux-x86_64
fulgora-island-4-bench-5s5s,4,40641.195,1.254,0.937,17.564,797.2206525915392,2.968323879421063,32400,2.0.72,linux-x86_64
fulgora-island-5.14-bench-7s7s,0,32202.306,0.994,0.704,11.079,1006.139125564486,30.29829376690994,32400,2.0.72,linux-x86_64
fulgora-island-5.14-bench-7s7s,1,32203.392,0.994,0.683,11.147,1006.1051953781763,30.29829376690994,32400,2.0.72,linux-x86_64
fulgora-island-5.14-bench-7s7s,2,32153.305,0.992,0.685,10.596,1007.6724616645163,30.29829376690994,32400,2.0.72,linux-x86_64
fulgora-island-5.14-bench-7s7s,3,32194.184,0.994,0.696,10.966,1006.3929559450862,30.29829376690994,32400,2.0.72,linux-x86_64
fulgora-island-5.14-bench-7s7s,4,32193.246,0.994,0.698,10.444,1006.422278759961,30.29829376690994,32400,2.0.72,linux-x86_64
fulgora-island-5.19b-bench-7s7s,0,31274.359,0.965,0.621,11.628,1035.992456312214,33.765354370131675,32400,2.0.72,linux-x86_64
fulgora-island-5.19b-bench-7s7s,1,31295.252,0.966,0.617,11.115,1035.3008181560576,33.765354370131675,32400,2.0.72,linux-x86_64
fulgora-island-5.19b-bench-7s7s,2,31249.309,0.964,0.631,12.538,1036.8229262285447,33.765354370131675,32400,2.0.72,linux-x86_64
fulgora-island-5.19b-bench-7s7s,3,31618.128,0.976,0.622,11.431,1024.72859873298,33.765354370131675,32400,2.0.72,linux-x86_64
fulgora-island-5.19b-bench-7s7s,4,31340.643,0.967,0.627,11.801,1033.801380526877,33.765354370131675,32400,2.0.72,linux-x86_64
fulgora-island-5.20b-bench-8s8s,0,31161.395,0.962,0.619,12.399,1039.7480600595704,34.502724030239044,32400,2.0.72,linux-x86_64
fulgora-island-5.20b-bench-8s8s,1,31249.313,0.964,0.646,12.64,1036.8227935122927,34.502724030239044,32400,2.0.72,linux-x86_64
fulgora-island-5.20b-bench-8s8s,2,31258.341,0.965,0.654,11.567,1036.523339482412,34.502724030239044,32400,2.0.72,linux-x86_64
fulgora-island-5.20b-bench-8s8s,3,31075.835,0.959,0.645,12.175,1042.6107617060009,34.502724030239044,32400,2.0.72,linux-x86_64
fulgora-island-5.20b-bench-8s8s,4,31171.173,0.962,0.656,11.902,1039.4219043344951,34.502724030239044,32400,2.0.72,linux-x86_64
